5350243.01,4835,385,665,410,410
5350243.02,2905,215,365,200,185
5350244.01,4610,365,505,260,465
5350244.02,2885,245,340,290,310
5350245,5760,450,675,395,490
5350246,2845,110,330,280,285
5350247.01,6780,450,875,500,650
5350247.02,5730,310,605,430,510
5350248.02,4160,430,670,295,485
5350248.03,2340,220,365,240,190
5350248.04,4535,350,625,330,470
5350248.05,3460,230,400,265,240
5350249.01,3995,270,480,225,320
5350249.03,4530,325,465,310,400
5350249.04,2620,255,365,210,315
5350249.05,4125,430,600,340,540
5350250.01,4085,340,450,310,375
5350250.02,4055,185,525,210,405
5350250.04,4430,530,525,330,400
5350250.05,5650,605,915,430,680
5350260.01,5640,490,780,430,595
5350260.03,6165,420,740,475,435
5350260.04,3195,375,535,255,220
5350260.05,2700,370,400,345,290
5350261,4390,320,455,225,490
5350262.01,4640,270,415,260,425
5350262.02,5100,355,520,300,515
5350263.02,2580,105,190,130,170
5350263.03,4515,245,420,290,340
5350263.04,4865,140,365,145,310
5350264,1260,35,155,25,60
5350265,3285,180,330,210,130
5350266,2645,190,225,140,115
5350267,5400,280,685,240,315
5350268,5495,240,520,215,305
5350269.01,4035,335,630,370,320
5350269.02,2210,115,270,105,160
5350270.01,4220,250,410,395,400
5350270.02,3180,220,355,250,295
5350271.01,2130,70,195,105,145
5350271.02,3875,320,475,290,255
5350272.01,4740,430,620,360,360
5350272.02,4070,260,380,235,305
5350273.01,3350,220,515,125,230
5350273.02,3740,355,505,280,215
5350274.01,4040,325,595,190,215
5350274.02,4135,235,465,210,205
5350275,4710,255,585,255,195
5350276.01,5165,225,390,265,440
5350276.02,5190,260,555,325,225
5350277,3155,275,375,205,215
5350278,5975,435,655,350,430
5350279.01,3565,235,280,210,295
5350279.02,5085,290,505,395,625
5350280,5870,395,640,425,585
5350281.01,5165,345,700,445,475
5350281.02,2940,305,295,220,210
5350282,3615,155,300,240,415
5350283.01,4040,220,565,245,425
5350283.02,3590,225,385,240,350
5350284,5485,290,615,485,435
5350285,2775,160,225,170,250
5350286,2990,235,260,290,265
5350287.01,5705,450,565,375,380
5350287.02,4765,365,610,310,420
5350288,6800,465,625,420,495
5350289,3830,255,305,320,495
5350290,3870,175,405,310,340
5350291.01,3285,90,240,255,340
5350291.02,4090,195,465,240,440
5350292,5480,370,690,455,555
5350293,3485,210,350,200,325
5350294.01,3590,290,510,295,340
5350294.02,3670,365,300,220,315
5350295,4370,335,525,285,415
5350297.01,5730,320,660,340,410
5350297.02,5175,255,680,275,450
5350298,3510,165,375,155,230
5350299.01,4875,275,620,355,345
5350299.02,3885,225,690,190,160
5350300,9055,420,1450,335,595
5350301.01,2455,125,360,180,175
5350301.03,3465,285,470,365,420
5350301.04,3295,265,605,300,380
5350302.01,5555,335,695,410,465
5350302.02,5235,360,795,475,435
5350302.03,3095,325,415,235,305
5350303,4455,390,765,400,475
5350304.01,3580,355,510,325,415
5350304.02,3610,170,335,200,245
5350304.03,2405,185,315,170,220
5350304.04,2950,195,465,225,270
5350304.05,2550,155,350,85,150
5350304.06,5225,305,805,330,560
5350305.01,4030,255,545,195,275
5350305.03,4085,225,685,265,275
5350305.04,4685,250,660,170,320
5350306.01,3930,375,620,270,345
5350306.02,3815,195,510,270,245
5350307.03,4430,420,1010,285,375
5350307.04,5785,390,1280,295,420
5350307.05,3255,190,805,180,175
5350307.06,4780,315,990,330,365
5350307.07,4860,320,1030,285,335
5350308.01,9470,490,1630,470,750
5350308.02,3750,155,375,275,275
5350309,5150,425,760,395,550
5350310.01,2850,95,335,190,165
5350310.02,4250,375,520,330,305
5350311.02,4960,310,600,295,430
5350311.03,2135,140,300,110,265
5350311.04,5650,390,540,380,635
5350311.05,5440,375,920,565,455
5350311.06,4670,260,1330,475,380
5350312.02,2920,195,375,230,255
5350312.03,5225,445,530,410,505
5350312.04,4140,435,405,325,415
5350312.05,2745,260,405,260,285
5350312.06,2795,225,345,270,295
5350312.07,2825,200,265,255,275
5350313,4505,315,425,320,485
5350314.01,3800,355,460,345,375
5350314.02,4360,400,545,375,475
5350315.01,2925,200,285,135,325
5350315.02,2925,165,445,295,335
5350315.03,4400,385,470,305,450
5350316.01,3415,175,330,285,230
5350316.03,4490,435,640,380,700
5350316.04,3315,365,215,405,515
5350316.05,3140,305,350,285,405
5350316.06,2540,205,310,335,255
5350317.02,6330,405,705,550,725
5350317.03,3245,205,385,215,260
5350317.04,5085,435,555,365,525
5350317.05,1970,80,180,175,180
5350318,7355,630,1335,545,580
5350319,3545,175,455,395,305
5350320.01,4095,330,620,210,535
5350320.02,4995,315,625,410,465
5350321.01,3315,115,500,220,215
5350321.02,3690,300,695,235,240
5350322.01,4395,370,1075,205,370
5350322.02,2805,155,360,235,290
5350323.01,3620,245,570,255,255
5350323.02,4665,325,505,305,435
5350324.01,3240,250,570,215,230
5350324.02,5605,365,810,365,585
5350324.03,3580,145,405,215,355
5350324.05,3045,190,370,240,220
5350324.06,3110,315,415,235,210
5350330,3685,125,325,190,235
5350331.01,4660,180,455,225,275
5350331.03,4265,440,635,555,395
5350331.04,2655,195,255,155,160
5350332,5885,450,870,590,795
5350333,3880,350,340,220,380
5350334,2995,165,340,180,240
5350335,6020,365,710,445,610
5350336,5605,380,585,435,450
5350337,2130,65,200,70,205
5350338,4780,235,495,340,445
5350339,5580,290,565,280,325
5350340,5300,420,575,420,555
5350341.02,3330,200,310,225,485
5350341.03,3660,350,530,565,710
5350341.04,3415,300,410,295,355
5350342,5020,355,855,380,310
5350343,3440,260,375,280,425
5350344.01,4270,340,470,350,390
5350344.02,2900,110,335,225,380
5350345,3065,225,470,220,325
5350346.01,3770,380,410,380,415
5350346.02,4175,430,465,440,375
5350347,2085,155,230,145,160
5350348,4100,240,490,280,245
5350349,4620,335,580,420,330
5350350,4550,215,395,270,455
5350351.01,4440,355,540,305,580
5350351.02,2275,115,180,200,225
5350352,4435,275,605,310,425
5350353.02,4170,285,515,350,380
5350353.03,2650,195,335,245,210
5350353.04,3485,280,400,260,495
5350354,4085,255,465,280,375
5350355.02,4455,265,450,245,420
5350355.03,3455,350,455,355,465
5350355.04,3885,335,505,210,370
5350356,3785,225,345,295,340
5350357.01,5445,435,610,495,695
5350357.02,3635,395,390,300,625
5350358.01,2935,120,365,215,280
5350358.02,3650,330,325,375,390
5350358.03,4375,390,435,380,670
5350359,5655,490,670,405,775
5350360,4825,295,590,430,365
5350361.01,4960,270,475,325,370
5350361.02,5965,355,690,320,380
5350362.01,5140,335,690,380,530
5350362.02,5020,280,760,310,375
5350362.03,6150,240,760,405,515
5350362.04,4120,290,530,220,360
5350363.02,2835,160,410,180,275
5350363.04,2990,260,395,195,300
5350363.05,3520,410,580,265,425
5350363.06,5770,340,975,360,455
5350363.07,4325,435,695,410,455
5350364.01,4865,305,530,380,485
5350364.02,2315,185,290,120,125
5350365,5480,560,580,425,570
5350366,5035,365,615,425,565
5350367.01,3885,415,665,330,350
5350367.02,3065,115,305,200,215
5350368.01,4995,215,975,330,450
5350368.02,3525,205,290,265,400
5350369,5975,480,700,530,610
